Player,Matches,Runs,Avg,SR,100,50,4,6
475,richard levi,6,83,13.833333333333334,113.69863013698631,0,1,10,4
476,ricky thomas ponting,9,91,10.11111111111111,71.09375,0,0,5,2
477,rilee russouw,22,473,21.5,154.5751633986928,0,2,45,25
478,rishabh rajendra pant,131,3507,26.770992366412212,146.55244463017135,1,19,316,161
479,riyan parag,58,1173,20.224137931034484,135.60693641618496,0,6,84,60
480,robert john quiney,7,103,14.714285714285714,100.98039215686273,0,1,12,3
481,robin john peterson,5,32,6.4,106.66666666666667,0,0,3,1
482,robin venu uthappa,197,4954,25.14720812182741,130.91966173361521,0,27,481,182
483,roelof van der merwe,15,159,10.6,112.7659574468085,0,0,11,8
484,rohit gurunath sharma,251,6630,26.41434262948207,131.57372494542568,2,45,599,281
485,rohit raje,5,20,4.0,111.11111111111111,0,0,1,1
486,romario shepherd,9,115,12.777777777777779,185.48387096774192,0,0,7,10
487,ronit more,1,0,0.0,0.0,0,0,0,0
488,rory philip meredith,2,0,0.0,0.0,0,0,0,0
489,rovman anthony powell,22,360,16.363636363636363,147.54098360655738,0,1,21,28
490,rudra pratap singh,28,52,1.8571428571428572,68.42105263157895,0,0,2,1
491,ruturaj dhaval gaikwad,65,2380,36.61538461538461,137.5722543352601,2,20,217,91
492,ryan james harris,21,117,5.571428571428571,105.40540540540539,0,0,6,3
493,ryan mclaren,13,159,12.23076923076923,92.98245614035088,0,1,14,1
494,ryan ninan ten doeschate,21,326,15.523809523809524,138.72340425531914,0,1,26,15
495,s aravind,10,59,5.9,103.50877192982458,0,0,7,0
496,s tyagi,1,3,3.0,75.0,0,0,0,0
497,sachin baby,11,144,13.090909090909092,125.21739130434784,0,0,11,5
498,sachin ramesh tendulkar,78,2334,29.923076923076923,120.24729520865533,1,14,296,29
499,sachithra madushanka senanayake,4,10,2.5,62.5,0,0,0,0
500,sagun sunil prabhudessai,10,126,12.6,120.0,0,0,11,4
501,sahibzada mohammad shahid khan afridi,9,81,9.0,176.08695652173913,0,0,7,6
502,salman butt,7,193,27.571428571428573,120.625,0,1,30,2
503,sameer rizvi,5,51,10.2,118.6046511627907,0,0,4,2
504,samuel badree,5,13,2.6,56.52173913043478,0,0,0,0
505,samuel matthew curran,48,883,18.395833333333332,137.32503888024883,0,5,74,37
506,samuel paul jackson,8,61,7.625,107.01754385964912,0,0,5,1
507,samuel william billings,27,503,18.62962962962963,130.64935064935065,0,3,40,20
508,sanath teran jayasuriya,49,856,17.46938775510204,136.30573248407643,1,5,90,44
509,sandeep sharma,25,54,2.16,78.26086956521739,0,0,4,0
510,sandeep sunil narwal lamichhane,1,0,0.0,0.0,0,0,0,0
511,sanjay bapusaheb bangar,7,49,7.0,84.48275862068965,0,0,1,3
512,sanju viswanath samson,162,4419,27.27777777777778,139.5326807704452,3,28,352,206
513,sanvir singh,5,25,5.0,119.04761904761905,0,0,2,1
514,saurabh arun yadav,135,3594,26.622222222222224,145.97887896019498,2,26,385,130
515,saurabh sunil tiwary,73,1494,20.465753424657535,120.97165991902834,0,8,111,50
516,saurabh vidyut,8,145,18.125,133.0275229357798,0,1,21,3
517,saurav chauhan,3,18,6.0,120.0,0,0,1,1
518,scott bernard styris,10,131,13.1,99.24242424242425,0,0,10,3
519,sean abbott,3,22,7.333333333333333,122.22222222222223,0,0,1,2
520,sean matthew harwood,2,9,4.5,69.23076923076923,0,0,0,0
521,shahbaz ahmed,37,536,14.486486486486486,122.37442922374429,0,1,28,25
522,shahbaz ahmed nadeem,20,39,1.95,44.827586206896555,0,0,2,0
523,shahnawaz khan,36,585,16.25,131.75675675675674,0,1,63,14
524,shai david hope,9,183,20.333333333333332,150.0,0,0,12,12
525,shakib al hasan,52,795,15.288461538461538,125.19685039370079,0,2,73,21
526,shams mulani,2,7,3.5,87.5,0,0,1,0
527,shane edward bond,1,1,1.0,50.0,0,0,0,0
528,shane keith warne,27,198,7.333333333333333,92.95774647887323,0,0,14,6
529,shane robert watson,141,3880,27.5177304964539,138.5219564441271,4,25,377,190
530,shanthakumaran sreesanth,12,34,2.8333333333333335,61.81818181818181,0,0,6,0
531,shardul narendra thakur,35,307,8.771428571428572,139.54545454545456,0,1,27,13
532,shashank singh,19,423,22.263157894736842,161.45038167938932,0,2,33,25
533,shaun edward marsh,69,2489,36.072463768115945,133.38692390139335,1,21,269,78
534,shaun everard johnson,3,6,2.0,85.71428571428571,0,0,1,0
535,shaun maclean pollock,8,147,18.375,132.43243243243242,0,0,12,8
536,shaun william tait,5,23,4.6,88.46153846153845,0,0,1,1
537,sheldon shane cottrell,1,0,0.0,0.0,0,0,0,0
538,sherfane eviston rutherford,9,106,11.777777777777779,101.92307692307692,0,0,3,8
539,shikhar dhawan,221,6769,30.6289592760181,127.6206636500754,2,53,768,153
540,shimron odilon hetmyer,65,1243,19.123076923076923,154.0272614622057,0,4,76,82
541,shivam dube,61,1502,24.62295081967213,146.96673189823875,0,9,86,101
542,shivam mavi,11,51,4.636363636363637,91.07142857142857,0,0,4,2
543,shivam sharma,2,5,2.5,166.66666666666669,0,0,1,0
544,shivam singh,1,2,2.0,66.66666666666666,0,0,0,0
545,shivnarine chanderpaul,3,25,8.333333333333334,80.64516129032258,0,0,4,0
546,shoaib ahmed,3,1,0.3333333333333333,16.666666666666664,0,0,0,0
547,shoaib akhtar,1,2,2.0,28.57142857142857,0,0,0,0
548,shoaib malik,5,52,10.4,113.04347826086956,0,0,5,0
549,shreevats pratyush goswami,21,293,13.952380952380953,100.0,0,1,32,3
550,shreyas santosh gopal,22,180,8.181818181818182,106.50887573964498,0,0,19,2
551,shreyas santosh iyer,118,3136,26.576271186440678,127.79136104319477,0,21,272,113
552,shrikant balaji wagh,2,2,1.0,66.66666666666666,0,0,0,0
553,shrikant ladda,2,0,0.0,0.0,0,0,0,0
554,shrikant muralidhar jakati,5,28,5.6,96.55172413793103,0,0,3,0
555,shubham brijesh dubey,3,33,11.0,173.6842105263158,0,0,3,2
556,shubham kaushik,1,0,0.0,0.0,0,0,0,0
557,shubham narwal,4,37,9.25,137.03703703703704,0,0,6,0
558,shubman gill,107,3307,30.906542056074766,135.58835588355885,4,24,319,96
559,siddarth kaul,9,20,2.2222222222222223,55.55555555555556,0,0,1,0
560,siddharth kishorkumar trivedi,14,42,3.0,72.41379310344827,0,0,3,1
561,siddhesh dinesh lad,1,15,15.0,115.38461538461537,0,0,1,1
562,sikandar raza,9,182,20.22222222222222,133.8235294117647,0,1,12,8
563,simarjeet singh,3,7,2.3333333333333335,87.5,0,0,0,0
564,simon matthew katich,11,241,21.90909090909091,130.27027027027026,0,2,26,8
565,sohail tanvir,5,36,7.2,128.57142857142858,0,0,3,1
566,sourav chandidas ganguly,56,1349,24.089285714285715,107.31901352426412,0,7,137,42
567,sriram balasubramanian,2,31,15.5,86.11111111111111,0,0,3,0
568,stephen paul fleming,10,196,19.6,120.98765432098766,0,0,27,3
569,steven peter devereux smith,93,2495,26.827956989247312,129.20766442257897,1,12,226,60
570,stuart terence roger binny,66,880,13.333333333333334,129.03225806451613,0,0,66,35
571,subramaniam anirudha,12,136,11.333333333333334,121.42857142857142,0,1,9,7
572,subramaniam badrinath,65,1441,22.16923076923077,119.28807947019868,0,11,154,28
573,sudhir dattaram chitnis,8,99,12.375,112.5,0,0,10,2
574,sumit kumar,3,18,6.0,75.0,0,0,2,1
575,sunil bandacharya joshi,2,6,3.0,42.857142857142854,0,0,0,0
576,sunil philip narine,106,1534,14.471698113207546,166.017316017316,1,8,164,97
577,sunny gupta,1,0,0.0,0.0,0,0,0,0
578,sunny singh,5,43,8.6,138.70967741935485,0,0,6,1
579,sunny sohal,20,368,18.4,127.33564013840831,0,2,34,18
580,suranga lakmal,1,2,2.0,50.0,0,0,0,0
581,suresh kumar raina,200,5536,27.68,137.54037267080744,1,40,506,204
582,swapnil harshad asnodkar,19,423,22.263157894736842,125.51928783382789,0,2,56,10
583,swapnil singh,9,51,5.666666666666667,113.33333333333333,0,0,3,3
584,tabraiz shamsi,1,2,2.0,50.0,0,0,0,0
585,tanmay manoj srivastava,3,8,2.6666666666666665,72.72727272727273,0,0,0,0
586,tanush kotian,1,24,24.0,77.41935483870968,0,0,3,0
587,taruwar kohli,3,11,3.6666666666666665,57.89473684210527,0,0,0,1
588,tatenda taibu,3,31,10.333333333333334,119.23076923076923,0,0,3,0
589,thalapathi suman,39,676,17.333333333333332,117.97556719022688,0,2,55,26
590,thangarasu natarajan,2,3,1.5,60.0,0,0,0,0
591,thilan thushara,4,12,3.0,66.66666666666666,0,0,0,0
592,thomas kohler-cadmore,3,48,16.0,88.88888888888889,0,0,7,1
593,tilak varma,38,1156,30.42105263157895,146.8869123252859,0,6,90,58
594,tillakaratne mudiyanselage dilshan,50,1153,23.06,115.18481518481518,0,9,140,24
595,timothy david henderson,2,11,5.5,73.33333333333333,0,0,0,1
596,timothy david paine,2,10,5.0,38.46153846153847,0,0,0,0
597,timothy grant southee,19,120,6.315789473684211,113.20754716981132,0,0,8,4
598,timothy howard david,35,659,18.82857142857143,171.16883116883116,0,0,38,46
599,timothy leonard seifert,3,26,8.666666666666666,113.04347826086956,0,0,4,0
600,timothy samuel mills,5,8,1.6,57.14285714285714,0,0,0,1
601,tom abell banton,2,18,9.0,90.0,0,0,1,1
602,tom kevin curran,10,127,12.7,118.69158878504673,0,1,10,3
603,travis dean birt,5,75,15.0,131.57894736842107,0,0,9,2
604,travis michael head,25,772,30.88,175.05668934240364,1,6,76,40
605,travis stubbs,17,405,23.823529411764707,174.56896551724137,0,3,26,26
606,trent alexander boult,22,83,3.772727272727273,106.41025641025641,0,0,5,3
607,tushar udeshi deshpande,4,21,5.25,150.0,0,0,2,1
608,uday kaul,1,0,0.0,0.0,0,0,0,0
609,umar gul,4,39,9.75,205.26315789473685,0,0,1,5
610,umesh kumar tilak yadav,48,208,4.333333333333333,103.48258706467661,0,0,16,9
611,umran malik,5,23,4.6,153.33333333333334,0,0,1,2
612,unmukt bharat thakur chand,20,300,15.0,100.33444816053512,0,1,32,9
613,unmukt chand birla,1,7,7.0,50.0,0,0,1,0
614,usman tariq khawaja,6,127,21.166666666666668,128.2828282828283,0,0,14,3
615,v viyaskanth,1,7,7.0,140.0,0,0,0,0
616,vangipurapu venkata sai laxman,20,282,14.1,106.01503759398496,0,1,33,5
617,varun chakravarthy,12,50,4.166666666666667,70.4225352112676,0,0,2,2
618,venkatesh rajasekaran iyer,49,1326,27.06122448979592,137.26708074534162,1,12,121,61
619,venugopal sainath yeligati,1,2,2.0,100.0,0,0,0,0
620,vidyut sivaramakrishnan mahesh,5,15,3.0,55.55555555555556,0,0,0,0
621,vijay shankar,58,1115,19.224137931034484,130.10501750291715,0,6,80,45
622,vijaykumar vyshak,4,14,3.5,116.66666666666667,0,0,0,1
623,vikas garg arora,7,9,1.2857142857142858,56.25,0,0,0,0
624,vikas singh malik,2,7,3.5,100.0,0,0,1,0
625,vikram raj vir singh,2,4,2.0,133.33333333333331,0,0,1,0
626,vikramjeet pratap singh,1,0,0.0,0.0,0,0,0,0
627,virat kohli,246,8029,32.63821138211382,132.12111239098238,8,64,709,273
628,virender sehwag,104,2728,26.23076923076923,156.87176538240368,2,18,334,106
629,vishnu vinod,6,56,9.333333333333334,100.0,0,0,3,3
630,vivrant sharma,3,98,32.666666666666664,134.24657534246575,0,1,12,3
631,warnakulasuriya patabendige ushantha joseph chaminda vaas,11,81,7.363636363636363,112.5,0,0,2,3
632,washington sundar,38,378,9.947368421052632,116.66666666666667,0,0,32,9
633,wasim jaffer,8,130,16.25,107.43801652892562,0,1,14,3
634,wayne daniel parnell,13,65,5.0,81.25,0,0,4,1
635,wilkin arvind mota,8,56,7.0,74.66666666666667,0,0,2,0
636,william george jacks,8,230,28.75,176.9230769230769,1,2,16,18
637,wriddhiman prasanta saha,143,2934,20.517482517482517,127.78745644599303,1,14,296,87
638,xavier thalaivan sargunam,1,10,10.0,58.82352941176471,0,0,0,0
639,yalaka venugopal rao,53,1004,18.943396226415093,118.2567726737338,0,3,80,37
640,yaseen abdulla,1,0,0.0,0.0,0,0,0,0
641,yash dayal,1,0,0.0,0.0,0,0,0,0
642,yash vijay dhull,3,16,5.333333333333333,69.56521739130434,0,0,1,0
643,yashasvi prithvi raj,53,1607,30.32075471698113,151.17591721542803,2,11,199,64
644,yashpal singh,24,332,13.833333333333334,102.46913580246914,0,0,25,9
645,yogesh vijay takawale,10,192,19.2,108.47457627118644,0,0,26,3
646,younis khan,1,3,3.0,42.857142857142854,0,0,0,0
647,yudhvir singh,4,22,5.5,137.5,0,0,1,2
648,yusuf khan pathan,153,3222,21.058823529411764,144.29019256605466,1,15,263,161
649,yuvraj singh,126,2754,21.857142857142858,130.2127659574468,0,13,218,149
650,yuzvendra singh chahal,17,37,2.176470588235294,43.02325581395349,0,0,0,0
651,zaheer khan,27,117,4.333333333333333,83.57142857142857,0,0,11,2
